label,origin_id,text_a,text_b
0,0,I m,hoping they ll come and see this and say We have to have this
0,0,I m hoping,they ll come and see this and say We have to have this
0,0,I m hoping they,ll come and see this and say We have to have this
0,0,I m hoping they ll,come and see this and say We have to have this
0,0,I m hoping they ll come,and see this and say We have to have this
0,0,I m hoping they ll come and,see this and say We have to have this
0,0,I m hoping they ll come and see,this and say We have to have this
0,0,I m hoping they ll come and see this,and say We have to have this
0,0,I m hoping they ll come and see this and,say We have to have this
0,0,I m hoping they ll come and see this and say,We have to have this
0,0,I m hoping they ll come and see this and say We,have to have this
0,0,I m hoping they ll come and see this and say We have,to have this
0,0,I m hoping they ll come and see this and say We have to,have this
0,0,I m hoping they ll come and see this and say We have to have,this
1,1,a man,who cannot read the sign that warns people from throwing garbage on the ground is illiterate
1,1,a man who,cannot read the sign that warns people from throwing garbage on the ground is illiterate
1,1,a man who cannot,read the sign that warns people from throwing garbage on the ground is illiterate
1,1,a man who cannot read,the sign that warns people from throwing garbage on the ground is illiterate
1,1,a man who cannot read the,sign that warns people from throwing garbage on the ground is illiterate
1,1,a man who cannot read the sign,that warns people from throwing garbage on the ground is illiterate
1,1,a man who cannot read the sign that,warns people from throwing garbage on the ground is illiterate
1,1,a man who cannot read the sign that warns,people from throwing garbage on the ground is illiterate
1,1,a man who cannot read the sign that warns people,from throwing garbage on the ground is illiterate
1,1,a man who cannot read the sign that warns people from,throwing garbage on the ground is illiterate
1,1,a man who cannot read the sign that warns people from throwing,garbage on the ground is illiterate
1,1,a man who cannot read the sign that warns people from throwing garbage,on the ground is illiterate
1,1,a man who cannot read the sign that warns people from throwing garbage on,the ground is illiterate
1,1,a man who cannot read the sign that warns people from throwing garbage on the,ground is illiterate
1,1,a man who cannot read the sign that warns people from throwing garbage on the ground,is illiterate
1,1,a man who cannot read the sign that warns people from throwing garbage on the ground is,illiterate
1,2,i fired,the floor refinishers they simply could not hold their lacquer
1,2,i fired the,floor refinishers they simply could not hold their lacquer
1,2,i fired the floor,refinishers they simply could not hold their lacquer
1,2,i fired the floor refinishers,they simply could not hold their lacquer
1,2,i fired the floor refinishers they,simply could not hold their lacquer
1,2,i fired the floor refinishers they simply,could not hold their lacquer
1,2,i fired the floor refinishers they simply could,not hold their lacquer
1,2,i fired the floor refinishers they simply could not,hold their lacquer
1,2,i fired the floor refinishers they simply could not hold,their lacquer
1,2,i fired the floor refinishers they simply could not hold their,lacquer
1,3,an elevator,makes ghosts happy because it lifts the spirits
1,3,an elevator makes,ghosts happy because it lifts the spirits
1,3,an elevator makes ghosts,happy because it lifts the spirits
1,3,an elevator makes ghosts happy,because it lifts the spirits
1,3,an elevator makes ghosts happy because,it lifts the spirits
1,3,an elevator makes ghosts happy because it,lifts the spirits
1,3,an elevator makes ghosts happy because it lifts,the spirits
1,3,an elevator makes ghosts happy because it lifts the,spirits
1,4,the first,drinking establishment in alaska was a polar bar
1,4,the first drinking,establishment in alaska was a polar bar
1,4,the first drinking establishment,in alaska was a polar bar
1,4,the first drinking establishment in,alaska was a polar bar
1,4,the first drinking establishment in alaska,was a polar bar
1,4,the first drinking establishment in alaska was,a polar bar
1,4,the first drinking establishment in alaska was a,polar bar
1,4,the first drinking establishment in alaska was a polar,bar
0,5,They will,pay a price for it if they try
0,5,They will pay,a price for it if they try
0,5,They will pay a,price for it if they try
0,5,They will pay a price,for it if they try
0,5,They will pay a price for,it if they try
0,5,They will pay a price for it,if they try
0,5,They will pay a price for it if,they try
0,5,They will pay a price for it if they,try
1,6,if you,give your sweetie pretty flowers will she turn on her flirty powers
1,6,if you give,your sweetie pretty flowers will she turn on her flirty powers
1,6,if you give your,sweetie pretty flowers will she turn on her flirty powers
1,6,if you give your sweetie,pretty flowers will she turn on her flirty powers
1,6,if you give your sweetie pretty,flowers will she turn on her flirty powers
1,6,if you give your sweetie pretty flowers,will she turn on her flirty powers
1,6,if you give your sweetie pretty flowers will,she turn on her flirty powers
1,6,if you give your sweetie pretty flowers will she,turn on her flirty powers
1,6,if you give your sweetie pretty flowers will she turn,on her flirty powers
1,6,if you give your sweetie pretty flowers will she turn on,her flirty powers
1,6,if you give your sweetie pretty flowers will she turn on her,flirty powers
1,6,if you give your sweetie pretty flowers will she turn on her flirty,powers
1,7,he had,a difficult time bouncing back from his bungee cord accident
1,7,he had a,difficult time bouncing back from his bungee cord accident
1,7,he had a difficult,time bouncing back from his bungee cord accident
1,7,he had a difficult time,bouncing back from his bungee cord accident
1,7,he had a difficult time bouncing,back from his bungee cord accident
1,7,he had a difficult time bouncing back,from his bungee cord accident
1,7,he had a difficult time bouncing back from,his bungee cord accident
1,7,he had a difficult time bouncing back from his,bungee cord accident
1,7,he had a difficult time bouncing back from his bungee,cord accident
1,7,he had a difficult time bouncing back from his bungee cord,accident
0,8,They may,be expensive but owners say they open up many living and traveling opportunities
0,8,They may be,expensive but owners say they open up many living and traveling opportunities
0,8,They may be expensive,but owners say they open up many living and traveling opportunities
0,8,They may be expensive but,owners say they open up many living and traveling opportunities
0,8,They may be expensive but owners,say they open up many living and traveling opportunities
0,8,They may be expensive but owners say,they open up many living and traveling opportunities
0,8,They may be expensive but owners say they,open up many living and traveling opportunities
0,8,They may be expensive but owners say they open,up many living and traveling opportunities
0,8,They may be expensive but owners say they open up,many living and traveling opportunities
0,8,They may be expensive but owners say they open up many,living and traveling opportunities
0,8,They may be expensive but owners say they open up many living,and traveling opportunities
0,8,They may be expensive but owners say they open up many living and,traveling opportunities
0,8,They may be expensive but owners say they open up many living and traveling,opportunities
1,9,those who,have icicles keep a stiff upper drip
1,9,those who have,icicles keep a stiff upper drip
1,9,those who have icicles,keep a stiff upper drip
1,9,those who have icicles keep,a stiff upper drip
1,9,those who have icicles keep a,stiff upper drip
1,9,those who have icicles keep a stiff,upper drip
1,9,those who have icicles keep a stiff upper,drip
1,10,the dentist,put braces on his patient as a stop gap measure
1,10,the dentist put,braces on his patient as a stop gap measure
1,10,the dentist put braces,on his patient as a stop gap measure
1,10,the dentist put braces on,his patient as a stop gap measure
1,10,the dentist put braces on his,patient as a stop gap measure
1,10,the dentist put braces on his patient,as a stop gap measure
1,10,the dentist put braces on his patient as,a stop gap measure
1,10,the dentist put braces on his patient as a,stop gap measure
1,10,the dentist put braces on his patient as a stop,gap measure
1,10,the dentist put braces on his patient as a stop gap,measure
1,11,the mushroom,farmer improved his morel by pressing a button and going to portabella for harvest
1,11,the mushroom farmer,improved his morel by pressing a button and going to portabella for harvest
1,11,the mushroom farmer improved,his morel by pressing a button and going to portabella for harvest
1,11,the mushroom farmer improved his,morel by pressing a button and going to portabella for harvest
1,11,the mushroom farmer improved his morel,by pressing a button and going to portabella for harvest
1,11,the mushroom farmer improved his morel by,pressing a button and going to portabella for harvest
