label,origin_id,punchline_idx,text_a,text_b
0,0,7,I m hoping they ll come and see this,and say We have to have this
1,1,15,a man who cannot read the sign that warns people from throwing garbage on the ground is,illiterate
1,2,8,i fired the floor refinishers they simply could not hold,their lacquer
1,3,6,an elevator makes ghosts happy because it lifts,the spirits
1,4,4,the first drinking establishment in alaska,was a polar bar
0,5,4,They will pay a price for,it if they try
1,6,4,if you give your sweetie pretty,flowers will she turn on her flirty powers
1,7,8,he had a difficult time bouncing back from his bungee,cord accident
0,8,12,They may be expensive but owners say they open up many living and traveling,opportunities
1,9,5,those who have icicles keep a stiff,upper drip
1,10,9,the dentist put braces on his patient as a stop gap,measure
1,11,0,the mushroom,farmer improved his morel by pressing a button and going to portabella for harvest
1,12,4,the star asked the sun why,the moon was always up so late sun responded that it was just a phase
0,13,4,A joyous evening often leads to,a sorrowful morning
1,14,0,the boatyard,had a sale advertising ketch of the day
0,15,15,If I thought this would make it difficult for the family I wouldn t do it he,said
1,16,7,wow thanks for the tea i m glad i,got to chai it
0,17,3,O eggs never fight with,stones
1,18,3,how long is a chinese,man
1,19,8,vines are extremely short tempered they snap at the slightest,wind
1,20,9,he wanted to buy a load of soil that didn t,cost the earth
0,21,0,You get,20 and they say There s the door
0,22,7,Court House in the state she lived at time,of death
0,23,10,A science journalist throws his lot in with the high fat high,protein crowd
0,24,14,The rules will force the American operations of foreign banks to follow many of the same,rules as American banks including holding more capital as a financial buffer
1,25,17,yesterday my fridge thought it was a microwave so we got into a heated fight but we re cool,now
1,26,13,i used to be a watchmaker it was a great job and i made my,own hours
0,27,3,play with her in her,room until she is really sick of you she will leave you alone eventually
0,28,9,I didn t get a chance to talk to him very,much
1,29,3,crane drivers have uplifting pick,up lines
0,30,14,We all sleep in one room with a fire or we will freeze to death he,said
1,31,6,i bought me some of those new paper,shirts i don t like them they re tearable
1,32,5,a clumsy physician who pretends to care,is a hypocritical oaf
0,33,10,I love chocolate as well there really is no way to stop,you just have to avoid it as much as you can
1,34,0,the alpine,skiing competition started poorly and went downhill from there
1,35,3,what do people buy coffee,with starbucks
0,36,8,you can t part of the test is hands on,to pass
1,37,6,opening a new funeral parlor can be quite,an undertaking
1,38,0,did you,hear about the podiatrist who got his floor tiled he got a bad case of degrout
0,39,3,The building is a piece,of a bridge between the city s past and its high rise present
0,40,15,The family situation the business situation has been raised time and time again before the court he,said
1,41,3,i wonder how much an,anagram weighs
0,42,5,If you have a special someone it,s the best day in the world If you don t have someone special it s just another day
1,43,21,a scientist doing a large experiment with liquid chemicals was trying to solve a problem when he fell in and became part of,the solution
0,44,1,I love my,boyfriend very much but I think it could be better
